"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS Code (NAICS2017_LABEL)","Year (YEAR)","Total fringe benefits ($1,000) (BENEFIT)","Relative standard error for estimate of total fringe benefits (%) (BENEFIT_S)","Total cost of materials ($1,000) (CSTMTOT)","Relative standard error for estimate of total cost of materials  (%) (CSTMTOT_S)","Cost of materials, packaging, etc. used ($1,000) (CSTMPRT)","Relative standard error for estimate of cost of materials, packaging, etc. used(%) (CSTMPRT_S)","Cost of resales ($1,000) (CSTRSL)","Relative standard error for estimate of cost of resales (%) (CSTRSL_S)","Cost of purchased fuels consumed ($1,000) (CSTFU)","Relative standard error for estimate of cost of purchased fuels consumed (%) (CSTFU_S)","Cost of purchased electricity ($1,000) (CSTELEC)","Relative standard error for estimate of cost of purchased electricity (%) (CSTELEC_S)","Cost of contract work ($1,000) (CSTCNT)","Relative standard error for estimate of cost of contract work (%) (CSTCNT_S)","Quantity of electricity purchased for heat and power (1,000 kWh) (ELECPCH)","Relative standard error for estimate of quantity of electricity purchased for heat and power (%) (ELECPCH_S)","Quantity of generated electricity (1,000 kWh) (ELECGEN)","Relative standard error for estimate of quantity of generated electricity (%) (ELECGEN_S)","Quantity of electricity sold or transferred (1,000 kWh) (ELECSLD)","Relative standard error for estimate of quantity of electricity sold or transferred (%) (ELECSLD_S)","Total inventories, beginning of year ($1,000) (INVTOTB)","Relative standard error for estimate of total inventories, beginning of year (%) (INVTOTB_S)","Finished goods inventories, beginning of year ($1,000) (INVFINB)","Relative standard error for estimate of finished goods inventories, beginning of year (%) (INVFINB_S)","Work-in-process inventories, beginning of year ($1,000) (INVWIPB)","Relative standard error for estimate of work-in-process inventories, beginning of year (%) (INVWIPB_S)","Materials and supplies inventories, beginning of year ($1,000) (INVMATB)","Relative standard error for estimate of materials and supplies inventories, beginning of year (%) (INVMATB_S)","Total inventories, end of year ($1,000) (INVTOTE)","Relative standard error for estimate of total inventories, end of year (%) (INVTOTE_S)","Finished goods inventories, end of year ($1,000) (INVFINE)","Relative standard error for estimate of finished goods inventories, end of year (%) (INVFINE_S)","Work-in-process inventories, end of year ($1,000) (INVWIPE)","Relative standard error for estimate of work-in-process inventories, end of year (%) (INVWIPE_S)","Materials and supplies inventories, end of year ($1,000) (INVMATE)","Relative standard error for estimate of materials and supplies inventories, end of year  (%) (INVMATE_S)","Total capital expenditures (new and used) ($1,000) (CEXTOT)","Relative standard error for estimate of total capital expenditures (new and used)  (%) (CEXTOT_S)","Capital expenditures for buildings and other structures ($1,000) (CEXBLD)","Relative standard error for estimate of capital expenditures for buildings and other structures (%) (CEXBLD_S)","Capital expenditures for machinery and equipment ($1,000) (CEXMCH)","Relative standard error for estimate of capital expenditures for machinery and equipment (%) (CEXMCH_S)","Capital expenditures for automobiles, trucks, etc. for highway use ($1,000) (CEXMCHA)","Relative standard error for estimate of capital expenditures for automobiles, trucks, etc. for highway use (%) (CEXMCHA_S)","Capital expenditures for computers and peripheral data processing equipment ($1,000) (CEXMCHC)","Relative standard error for estimate of capital expenditures for computers and peripheral data processing equipment (%)  (CEXMCHC_S)","Capital expenditures for all other machinery and equipment ($1,000) (CEXMCHO)","Relative standard error for estimate of capital expenditures for all other machinery and equipment (%) (CEXMCHO_S)"
"Alabama","31-33","Manufacturing","2018","3,960,343","0.6","85,954,386","0.2","80,508,827","0.2","1,951,777","1.2","932,556","0.2","1,621,485","0.6","939,740","1.4","27,966,848","0.6","3,691,405","0.1","D","D","12,708,552","0.2","5,306,485","0.6","2,227,364","0.6","5,174,703","0.8","13,312,845","0.3","5,514,109","0.5","2,231,340","0.6","5,567,396","0.6","5,936,595","1.3","1,089,736","1.3","4,846,859","1.5","148,495","4.7","78,728","2.6","4,619,636","1.4"
"Alabama","31-33","Manufacturing","2019","4,110,472","1.5","85,609,204","1.3","79,572,011","1.2","2,333,881","1.2","936,319","6.2","1,750,569","6.2","1,016,424","1.7","28,903,314","6.3","3,728,816","0.1","D","D","13,274,749","0.4","5,524,329","0.7","2,209,022","1.2","5,541,397","0.5","13,994,830","2.1","5,719,149","2.6","2,204,685","2.8","6,070,996","2.2","5,832,879","1.0","782,466","1.7","5,050,413","1.1","148,038","4.6","140,573","8.9","4,761,803","0.9"
"Alabama","31-33","Manufacturing","2020","3,990,119","1.6","80,218,234","1.5","74,776,054","1.3","2,122,147","1.5","818,330","7.6","1,576,024","7.4","925,680","2.1","26,532,142","7.5","3,832,210","0.1","248,640","0.0","13,963,472","2.1","5,720,658","2.6","2,194,996","2.8","6,047,818","2.3","12,952,943","1.9","4,797,998","2.2","2,155,526","2.8","5,999,420","2.4","5,299,577","1.9","964,751","2.1","4,334,826","2.2","129,774","4.9","99,024","1.1","4,106,029","2.3"
"Alabama","31-33","Manufacturing","2021","4,212,399","1.6","94,237,754","1.4","87,863,777","1.2","2,348,074","1.5","1,134,511","14.3","1,806,295","6.8","1,085,098","6.3","29,070,495","6.2","4,506,754","0.1","170,199","0.0","12,812,655","1.9","4,787,003","2.3","2,114,834","3.0","5,910,818","2.4","16,349,395","1.7","6,186,848","1.9","2,517,634","2.5","7,644,914","2.0","5,644,930","3.0","1,083,515","2.0","4,561,415","3.6","118,041","4.7","110,636","1.3","4,332,738","3.8"
"Alaska","31-33","Manufacturing","2018","139,258","1.5","5,061,499","0.8","4,854,089","0.9","37,511","0.6","90,362","0.5","50,180","1.2","29,357","0.2","277,312","1.6","126,025","0.0","D","D","549,133","2.6","355,215","4.1","48,515","0.1","145,404","2.3","716,750","1.9","481,903","2.3","58,760","0.2","176,087","4.4","237,221","14.0","D","D","D","D","7,233","1.9","D","D","192,909","8.2"
"Alaska","31-33","Manufacturing","2019","149,000","1.9","4,661,336","0.4","4,468,084","0.4","38,448","3.8","75,625","1.1","D","D","D","D","324,936","0.7","D","D","D","D","632,192","1.6","360,315","1.9","53,138","8.8","218,740","1.6","744,461","4.5","D","D","D","D","D","D","138,526","3.7","20,733","6.4","117,792","3.6","4,189","15.2","3,407","15.8","110,195","3.5"
"Alaska","31-33","Manufacturing","2020","136,701","2.0","3,342,631","1.5","3,167,727","1.6","37,418","1.6","68,574","1.3","40,366","0.9","28,547","8.4","294,411","0.8","99,474","8.1","D","D","717,698","4.3","432,680","6.7","50,273","8.1","234,745","1.5","592,274","3.8","330,597","6.4","40,700","2.7","220,978","1.8","133,573","1.3","D","D","D","D","D","D","D","D","105,420","1.1"
"Alaska","31-33","Manufacturing","2021","142,911","2.2","4,462,706","1.0","4,291,141","1.0","25,481","2.4","82,755","1.0","41,250","1.4","22,079","10.8","299,302","1.2","106,525","10.3","D","D","588,780","3.9","D","D","D","D","206,021","5.1","616,365","2.4","D","D","D","D","250,009","2.3","461,845","1.1","46,415","2.1","415,429","1.0","6,031","4.0","4,502","0.4","404,897","0.9"
"Arizona","31-33","Manufacturing","2018","3,037,258","0.5","28,099,405","0.4","26,062,414","0.4","698,846","2.7","167,234","0.7","532,523","0.5","638,388","1.8","5,986,580","0.5","1,277","26.4","D","D","6,596,679","0.4","2,669,921","0.5","1,668,731","0.4","2,258,027","0.7","6,693,817","0.4","2,682,392","0.6","1,755,627","0.5","2,255,798","0.8","4,061,365","0.5","1,652,302","0.1","2,409,063","0.8","54,449","5.5","101,101","1.3","2,253,513","0.8"
"Arizona","31-33","Manufacturing","2019","3,138,622","0.5","28,680,221","0.5","26,767,073","0.5","659,278","3.0","168,149","2.3","526,028","0.6","559,693","3.4","5,979,211","0.7","1,137","26.6","D","D","7,056,454","1.4","3,033,817","1.1","1,704,719","1.3","2,317,918","3.4","7,327,849","1.3","2,897,603","1.3","1,959,263","1.2","2,470,983","2.8","3,150,959","1.3","241,589","7.1","2,909,371","1.1","68,193","33.7","88,679","1.9","2,752,499","0.7"
"Arizona","31-33","Manufacturing","2020","3,207,075","0.6","28,934,639","0.7","27,000,635","0.7","739,920","3.3","141,890","2.6","511,537","0.8","540,658","4.9","5,814,746","0.9","1,112","27.2","D","D","7,619,785","1.4","3,062,469","1.3","2,139,291","1.2","2,418,024","3.3","7,517,933","1.3","2,693,307","1.4","2,245,929","1.2","2,578,697","2.5","3,207,110","1.4","231,159","7.1","2,975,952","1.2","66,857","34.4","67,979","6.8","2,841,116","0.8"
"Arizona","31-33","Manufacturing","2021","3,318,070","0.6","32,831,438","0.7","30,758,189","0.7","736,643","2.7","178,834","3.0","572,014","0.8","585,758","4.9","6,316,505","0.9","924","28.9","D","D","7,704,383","1.3","2,916,870","1.4","2,232,194","1.2","2,555,319","2.9","8,317,226","1.1","2,933,688","1.1","2,596,235","1.0","2,787,302","2.3","2,228,174","2.2","351,362","3.0","1,876,812","2.5","64,311","35.8","70,518","6.3","1,741,983","2.0"
"Arkansas","31-33","Manufacturing","2018","2,113,792","0.3","34,854,872","0.3","32,477,912","0.3","763,540","1.4","395,163","0.4","833,838","0.4","384,418","1.4","14,345,752","0.3","1,340,343","0.6","0","X","6,178,516","0.3","2,545,111","0.5","1,184,958","0.6","2,448,447","0.3","6,630,554","0.4","2,608,102","0.8","1,303,426","1.5","2,719,026","0.8","2,994,280","1.0","1,230,180","1.4","1,764,100","1.0","60,217","7.3","36,862","3.8","1,667,021","1.0"
"Arkansas","31-33","Manufacturing","2019","2,092,864","0.4","37,527,347","0.3","35,211,464","0.3","640,649","2.6","380,342","0.9","833,199","0.3","461,694","1.7","14,531,570","0.2","1,269,957","0.1","D","D","6,477,009","0.4","2,531,581","0.8","1,264,819","0.4","2,680,609","0.5","6,621,616","0.5","2,599,946","1.0","1,252,428","1.5","2,769,242","0.4","2,813,764","1.0","1,254,124","0.7","1,559,641","1.3","60,752","4.0","39,562","4.1","1,459,327","1.3"
"Arkansas","31-33","Manufacturing","2020","2,105,905","0.4","34,427,220","0.4","31,944,216","0.4","950,075","2.3","350,416","1.1","801,170","0.3","381,343","2.2","14,164,056","0.3","1,132,384","0.1","D","D","6,690,918","0.5","2,623,478","1.1","1,248,970","0.7","2,818,470","0.7","6,524,665","0.7","2,602,330","0.6","1,186,938","1.9","2,735,396","1.2","2,385,147","1.0","340,126","2.1","2,045,020","1.0","63,232","4.3","30,361","5.6","1,951,427","0.9"
"Arkansas","31-33","Manufacturing","2021","2,168,254","0.4","40,166,792","0.4","37,320,457","0.5","900,403","2.4","531,200","1.9","939,752","1.0","474,980","4.4","15,787,219","0.9","1,155,219","0.1","D","D","6,526,054","0.8","2,584,069","1.0","1,182,611","1.1","2,759,374","1.3","8,286,431","0.8","3,141,515","0.8","1,527,277","2.1","3,617,639","1.3","2,332,870","1.4","375,223","3.2","1,957,648","1.5","86,380","12.6","39,838","7.3","1,831,430","1.2"
"California","31-33","Manufacturing","2018","22,583,760","0.3","267,230,397","0.2","242,717,294","0.2","12,024,248","2.5","2,650,258","0.3","3,859,670","0.7","5,978,926","1.1","28,332,788","0.7","8,331,493","1.2","1,472,702","3.2","71,789,821","0.3","27,906,059","1.1","23,412,973","1.2","20,470,789","0.5","76,922,855","0.4","29,793,827","0.6","25,024,299","0.4","22,104,728","0.6","13,612,241","1.1","3,540,672","1.9","10,071,569","1.2","595,519","5.9","561,222","2.2","8,914,827","1.2"
"California","31-33","Manufacturing","2019","22,992,555","0.2","264,754,448","0.2","242,230,188","0.2","10,346,905","1.0","2,488,039","0.6","3,970,001","0.3","5,719,315","1.5","28,822,468","0.3","8,545,584","0.1","1,525,954","0.1","75,981,151","0.5","28,798,890","0.5","25,095,853","0.9","22,086,409","0.5","81,418,475","0.4","31,515,674","0.4","26,771,232","1.0","23,131,569","0.5","13,967,016","1.6","2,950,940","2.2","11,016,075","1.8","475,199","2.2","687,133","3.9","9,853,743","1.8"
"California","31-33","Manufacturing","2020","24,059,395","0.3","243,970,048","0.3","223,298,918","0.3","8,944,748","1.2","2,212,203","0.9","4,071,850","0.5","5,442,328","1.7","29,481,510","0.5","7,744,829","0.1","1,642,538","0.1","80,253,757","0.5","31,053,661","0.7","26,394,798","1.0","22,805,298","0.6","79,012,142","0.5","30,964,541","0.6","25,033,721","1.2","23,013,881","0.7","14,306,443","2.0","3,423,440","2.5","10,883,004","2.2","452,665","2.4","758,867","3.8","9,671,472","2.3"
"California","31-33","Manufacturing","2021","25,280,319","0.3","280,512,711","0.3","256,833,759","0.3","10,695,902","1.0","2,828,640","0.8","4,445,748","0.5","5,708,661","2.1","31,674,715","0.5","8,244,855","0.3","1,430,288","0.1","78,668,738","0.6","30,931,308","0.7","24,980,869","1.2","22,756,561","0.7","87,724,994","0.5","32,346,480","0.8","28,345,743","1.2","27,032,771","0.7","15,251,576","2.0","3,811,230","2.7","11,440,346","2.2","513,952","4.8","645,558","5.0","10,280,837","2.3"
"Colorado","31-33","Manufacturing","2018","2,155,256","0.7","29,223,213","0.5","25,400,939","0.6","1,203,958","1.8","182,132","1.3","388,048","0.7","2,048,137","0.4","5,257,123","0.5","21,891","2.0","D","D","5,536,438","0.5","2,163,435","0.8","1,707,811","0.7","1,665,192","1.4","5,926,616","0.8","2,332,968","1.6","1,747,867","0.9","1,845,781","1.8","1,506,348","3.7","318,405","1.5","1,187,943","4.6","46,031","9.0","62,393","3.4","1,079,520","5.0"
"Colorado","31-33","Manufacturing","2019","2,176,679","0.8","28,246,842","0.4","25,927,560","0.4","1,227,318","4.3","181,641","1.6","427,607","0.5","482,715","3.7","5,359,643","0.6","24,366","5.2","897","29.3","5,795,236","0.7","2,248,374","1.2","1,762,381","1.5","1,784,481","1.9","5,978,479","0.8","2,346,964","1.0","1,839,749","1.4","1,791,767","2.0","1,501,972","3.2","263,014","4.6","1,238,958","3.5","56,967","13.0","66,970","9.7","1,115,022","3.6"
"Colorado","31-33","Manufacturing","2020","2,177,982","0.8","26,876,503","0.7","24,904,180","0.7","922,970","6.5","182,064","1.7","411,065","0.7","456,224","3.8","5,310,127","0.7","D","D","738","37.3","5,941,990","1.0","2,319,958","1.2","1,831,953","1.8","1,790,078","2.1","6,047,932","1.0","2,349,395","1.1","1,769,099","1.5","1,929,438","2.1","1,311,314","4.4","241,539","6.1","1,069,775","5.0","54,818","14.6","67,674","8.2","947,283","5.4"
"Colorado","31-33","Manufacturing","2021","2,372,271","0.9","29,443,133","0.6","27,420,052","0.7","923,943","6.2","204,259","1.7","409,912","0.9","484,968","3.6","5,152,628","0.7","D","D","784","35.9","5,979,904","1.0","2,341,973","1.2","1,753,948","1.8","1,883,983","1.9","6,493,001","1.0","2,188,762","1.4","2,036,111","1.3","2,268,127","1.8","1,489,811","3.1","488,068","7.0","1,001,743","1.9","38,024","7.1","46,386","3.4","917,332","1.9"
"Connecticut","31-33","Manufacturing","2018","3,456,596","0.4","25,386,007","0.8","22,877,885","0.9","1,140,759","1.2","191,247","1.5","384,795","0.8","791,322","1.6","3,176,303","1.2","885,814","0.4","41,036","0.6","9,629,761","0.6","3,284,876","0.8","3,648,303","0.4","2,696,582","2.5","9,325,932","0.5","3,134,735","1.4","3,398,670","0.4","2,792,527","0.6","1,420,621","4.0","241,874","6.0","1,178,747","3.7","38,540","8.6","57,053","3.9","1,083,153","3.9"
