Geographic_Area_Name,NAICS_Description,Year,Total_Fringe_Benefits,Total_Materials_Cost,Cost_Materials_Used,Cost_Resales,Inventories_Beginning_Year,Finished_Goods_Beginning,Work_In_Process_Beginning,Materials_Supplies_Beginning,Inventories_End_Year,Finished_Goods_End,Work_In_Process_End,Materials_Supplies_End,Total_Capital_Expenditures,Capital_Buildings,Capital_Machinery,Capital_Automobiles,Capital_Computers,Capital_Other
Alabama,Manufacturing,2018,3960343,85954386,80508827,1951777,12708552,5306485,2227364,5174703,13312845,5514109,2231340,5567396,5936595,1089736,4846859,148495,78728,4619636
Alabama,Manufacturing,2019,4110472,85609204,79572011,2333881,13274749,5524329,2209022,5541397,13994830,5719149,2204685,6070996,5832879,782466,5050413,148038,140573,4761803
Alabama,Manufacturing,2020,3990119,80218234,74776054,2122147,13963472,5720658,2194996,6047818,12952943,4797998,2155526,5999420,5299577,964751,4334826,129774,99024,4106029
Alabama,Manufacturing,2021,4212399,94237754,87863777,2348074,12812655,4787003,2114834,5910818,16349395,6186848,2517634,7644914,5644930,1083515,4561415,118041,110636,4332738
Alaska,Manufacturing,2018,139258,5061499,4854089,37511,549133,355215,48515,145404,716750,481903,58760,176087,237221,NA,NA,7233,NA,192909
Alaska,Manufacturing,2019,149000,4661336,4468084,38448,632192,360315,53138,218740,744461,NA,NA,NA,138526,20733,117792,4189,3407,110195
Alaska,Manufacturing,2020,136701,3342631,3167727,37418,717698,432680,50273,234745,592274,330597,40700,220978,133573,NA,NA,NA,NA,105420
Alaska,Manufacturing,2021,142911,4462706,4291141,25481,588780,NA,NA,206021,616365,NA,NA,250009,461845,46415,415429,6031,4502,404897
Arizona,Manufacturing,2018,3037258,28099405,26062414,698846,6596679,2669921,1668731,2258027,6693817,2682392,1755627,2255798,4061365,1652302,2409063,54449,101101,2253513
Arizona,Manufacturing,2019,3138622,28680221,26767073,659278,7056454,3033817,1704719,2317918,7327849,2897603,1959263,2470983,3150959,241589,2909371,68193,88679,2752499
Arizona,Manufacturing,2020,3207075,28934639,27000635,739920,7619785,3062469,2139291,2418024,7517933,2693307,2245929,2578697,3207110,231159,2975952,66857,67979,2841116
Arizona,Manufacturing,2021,3318070,32831438,30758189,736643,7704383,2916870,2232194,2555319,8317226,2933688,2596235,2787302,2228174,351362,1876812,64311,70518,1741983
Arkansas,Manufacturing,2018,2113792,34854872,32477912,763540,6178516,2545111,1184958,2448447,6630554,2608102,1303426,2719026,2994280,1230180,1764100,60217,36862,1667021
Arkansas,Manufacturing,2019,2092864,37527347,35211464,640649,6477009,2531581,1264819,2680609,6621616,2599946,1252428,2769242,2813764,1254124,1559641,60752,39562,1459327
Arkansas,Manufacturing,2020,2105905,34427220,31944216,950075,6690918,2623478,1248970,2818470,6524665,2602330,1186938,2735396,2385147,340126,2045020,63232,30361,1951427
Arkansas,Manufacturing,2021,2168254,40166792,37320457,900403,6526054,2584069,1182611,2759374,8286431,3141515,1527277,3617639,2332870,375223,1957648,86380,39838,1831430
California,Manufacturing,2018,22583760,267230397,242717294,12024248,71789821,27906059,23412973,20470789,76922855,29793827,25024299,22104728,13612241,3540672,10071569,595519,561222,8914827
California,Manufacturing,2019,22992555,264754448,242230188,10346905,75981151,28798890,25095853,22086409,81418475,31515674,26771232,23131569,13967016,2950940,11016075,475199,687133,9853743
California,Manufacturing,2020,24059395,243970048,223298918,8944748,80253757,31053661,26394798,22805298,79012142,30964541,25033721,23013881,14306443,3423440,10883004,452665,758867,9671472
California,Manufacturing,2021,25280319,280512711,256833759,10695902,78668738,30931308,24980869,22756561,87724994,32346480,28345743,27032771,15251576,3811230,11440346,513952,645558,10280837
Colorado,Manufacturing,2018,2155256,29223213,25400939,1203958,5536438,2163435,1707811,1665192,5926616,2332968,1747867,1845781,1506348,318405,1187943,46031,62393,1079520
